playerID,year,tmID,pos,nrAwards,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,dq,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade
abrossv01w,2,MIN,F,0.0,343,43,131,53,42,9,85,70,2,293,114,132,96,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,3,MIN,F,0.0,314,45,101,60,42,10,92,73,0,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,4,MIN,F,0.0,318,44,97,82,44,11,90,79,0,285,112,98,69,82,25,23,1,4,4,4,1,8,8,0,22,6,8,8,7,3
abrossv01w,5,MIN,F,0.0,146,17,57,45,30,2,43,42,0,139,49,46,28,53,20,20,3,6,3,1,2,3,7,0,23,8,4,2,8,2
abrossv01w,6,MIN,F,0.0,304,29,78,60,48,6,80,86,0,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,7,MIN,F,0.0,263,44,62,54,34,1,61,66,0,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,8,MIN,F,0.0,345,53,97,85,44,4,68,86,0,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,9,CON,F,0.0,34,3,17,12,8,0,11,13,0,36,11,12,10,12,2,24,3,8,4,4,0,3,8,0,24,11,4,2,5,0
adamsjo01w,4,MIN,C,0.0,33,10,13,4,2,3,10,10,0,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguilel01w,3,UTA,G,0.0,43,0,11,16,3,2,11,5,0,33,14,7,4,21,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
ajavoma01w,9,HOU,G,0.0,273,33,27,59,31,6,55,85,1,284,94,91,72,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajavoma01w,10,WAS,G,0.0,272,27,37,37,37,4,50,84,1,253,85,110,74,82,28,19,1,4,3,4,0,2,6,0,16,6,6,5,8,2
