year,tmID,confID,playoff,championship,season_wins,season_losses,matches,win_rate,post_matches,post_win_rate,o_pts,o_oreb,o_dreb,o_asts,o_stl,o_to,o_blk,o_pf,offensive_accuracy,d_pts,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,d_pf,deffensive_accuracy
9,ATL,EA,N,0,4,30,34,0.11764705882352941,0.0,0.0,74.52941176470588,10.0,21.676470588235293,14.470588235294118,8.382352941176471,17.441176470588236,4.176470588235294,23.41176470588235,49.391577223584164,84.67647058823529,11.794117647058824,25.41176470588235,20.11764705882353,9.117647058823529,16.5,3.9411764705882355,21.352941176470587,51.071593382559
10,ATL,EA,Y,0,18,16,68,0.3235294117647059,2.0,0.0,84.1470588235294,11.882352941176471,25.147058823529413,16.08823529411765,9.676470588235293,17.352941176470587,3.5588235294117645,21.794117647058822,50.232417217278936,82.26470588235294,10.382352941176471,24.147058823529413,18.08823529411765,10.205882352941176,17.676470588235293,3.911764705882353,20.58823529411765,51.20805767822976
1,CHA,EA,N,0,8,24,32,0.25,0.0,0.0,68.3125,9.53125,19.6875,17.21875,6.9375,15.5,2.8125,22.28125,50.43466673299359,75.90625,10.1875,20.75,18.625,8.09375,13.3125,3.84375,18.625,50.869831902692475
2,CHA,EA,Y,0,18,14,64,0.40625,8.0,0.5,64.21875,9.65625,19.96875,14.59375,6.78125,14.8125,3.5625,18.90625,51.76976368748919,62.78125,10.75,17.71875,13.84375,8.03125,13.96875,3.875,18.09375,49.079334948067
3,CHA,EA,Y,0,18,14,96,0.4583333333333333,10.0,0.4,70.03125,9.4375,20.40625,15.5,7.53125,12.75,3.28125,20.21875,52.32039870395483,66.65625,9.21875,19.375,15.28125,6.5,13.25,3.21875,18.75,51.01832225017267
4,CHA,EA,Y,0,18,16,130,0.47692307692307695,12.0,0.3333333333333333,65.20588235294117,10.058823529411764,18.5,14.676470588235293,8.205882352941176,14.617647058823529,3.3823529411764706,20.5,51.76593182059426,64.55882352941177,11.352941176470589,18.264705882352942,14.441176470588236,7.764705882352941,13.794117647058824,3.0588235294117645,17.823529411764707,48.98536762100248
5,CHA,EA,N,0,16,18,164,0.47560975609756095,12.0,0.3333333333333333,61.529411764705884,7.529411764705882,18.11764705882353,12.529411764705882,6.176470588235294,14.088235294117647,3.9411764705882355,19.058823529411764,50.92725744501686,63.76470588235294,10.823529411764707,18.470588235294116,15.176470588235293,7.147058823529412,12.852941176470589,3.3529411764705883,17.5,51.09128207402367
6,CHA,EA,N,0,6,28,198,0.42424242424242425,12.0,0.3333333333333333,61.61764705882353,9.294117647058824,17.91176470588235,14.5,8.352941176470589,15.735294117647058,3.323529411764706,21.38235294117647,48.84719100845908,68.67647058823529,10.441176470588236,20.58823529411765,14.588235294117647,7.911764705882353,15.705882352941176,4.294117647058823,19.235294117647058,51.01360764418534
7,CHA,EA,N,0,11,23,232,0.40948275862068967,12.0,0.3333333333333333,72.23529411764706,10.205882352941176,21.970588235294116,15.5,9.264705882352942,16.88235294117647,4.5588235294117645,21.58823529411765,47.688277902181646,75.61764705882354,10.882352941176471,25.58823529411765,15.352941176470589,8.411764705882353,18.205882352941178,3.676470588235294,20.794117647058822,50.27332005510783
7,CHI,EA,N,0,5,29,34,0.14705882352941177,0.0,0.0,68.29411764705883,10.5,20.0,14.970588235294118,8.147058823529411,15.5,3.676470588235294,19.823529411764707,46.189415847773525,79.02941176470588,11.147058823529411,25.294117647058822,18.323529411764707,7.705882352941177,15.735294117647058,3.5294117647058822,17.176470588235293,52.196080826402
8,CHI,EA,N,0,14,20,68,0.27941176470588236,0.0,0.0,74.26470588235294,11.264705882352942,23.0,17.558823529411764,7.705882352941177,15.0,3.2941176470588234,18.647058823529413,47.48321960750726,76.79411764705883,11.147058823529411,24.88235294117647,17.176470588235293,7.117647058823529,16.647058823529413,4.0588235294117645,20.08823529411765,53.0748641804429
9,CHI,EA,N,0,12,22,102,0.30392156862745096,0.0,0.0,72.70588235294117,10.5,22.647058823529413,16.11764705882353,7.911764705882353,15.441176470588236,4.382352941176471,18.794117647058822,48.175238801490195,73.82352941176471,10.764705882352942,23.352941176470587,15.617647058823529,7.5,15.352941176470589,3.6470588235294117,20.029411764705884,50.780510688962806
10,CHI,EA,N,0,16,18,136,0.34558823529411764,0.0,0.0,75.67647058823529,9.029411764705882,22.823529411764707,15.647058823529411,7.323529411764706,15.647058823529411,4.0588235294117645,17.794117647058822,53.02531591624843,79.20588235294117,10.558823529411764,23.441176470588236,17.941176470588236,8.029411764705882,14.382352941176471,3.5588235294117645,18.705882352941178,52.37582616315625
1,CLE,EA,Y,0,17,15,32,0.53125,6.0,0.5,68.28125,10.34375,18.84375,16.84375,8.09375,16.8125,2.84375,20.21875,51.21219808482276,66.3125,8.65625,18.625,16.875,9.53125,17.25,2.96875,21.65625,51.44461775463427
2,CLE,EA,Y,0,22,10,64,0.609375,9.0,0.4444444444444444,62.625,9.28125,20.6875,15.71875,8.34375,13.875,2.59375,16.625,49.47083400472604,55.875,9.28125,18.5625,13.5625,7.03125,15.5,3.96875,18.65625,47.860042021366255
3,CLE,EA,N,0,10,22,96,0.5104166666666666,9.0,0.4444444444444444,64.71875,9.21875,21.0625,15.0,6.90625,14.09375,2.59375,17.71875,50.622956095778136,66.875,8.6875,20.0,16.5625,7.5625,13.375,3.40625,19.15625,51.14779631667924
4,CLE,EA,Y,0,17,17,130,0.5076923076923077,12.0,0.4166666666666667,65.55882352941177,10.264705882352942,21.176470588235293,15.205882352941176,6.647058823529412,13.705882352941176,2.5294117647058822,18.794117647058822,48.39742350077027,65.0,8.823529411764707,20.705882352941178,15.0,6.5588235294117645,13.735294117647058,3.9705882352941178,19.38235294117647,51.45442139254567
4,CON,EA,Y,0,18,16,34,0.5294117647058824,4.0,0.5,70.11764705882354,9.794117647058824,22.41176470588235,15.294117647058824,7.9411764705882355,12.764705882352942,3.264705882352941,19.5,49.16425157376018,70.8529411764706,10.764705882352942,23.88235294117647,16.264705882352942,7.411764705882353,14.0,2.588235294117647,19.676470588235293,49.59523058833933
5,CON,EA,Y,0,18,16,68,0.5294117647058824,12.0,0.5833333333333334,68.67647058823529,9.441176470588236,21.294117647058822,16.823529411764707,8.794117647058824,13.588235294117647,2.823529411764706,17.941176470588236,49.39199212116105,67.76470588235294,9.0,22.264705882352942,16.61764705882353,7.029411764705882,14.470588235294118,3.323529411764706,18.441176470588236,51.56766097814253
6,CON,EA,Y,1,26,8,102,0.6078431372549019,20.0,0.6,72.76470588235294,9.470588235294118,23.176470588235293,16.852941176470587,6.9411764705882355,13.294117647058824,3.823529411764706,18.352941176470587,51.50190648976248,66.0,10.294117647058824,21.41176470588235,14.558823529411764,7.588235294117647,13.0,2.323529411764706,19.852941176470587,48.573667753133535
7,CON,EA,Y,0,26,8,136,0.6470588235294118,25.0,0.6,78.91176470588235,10.058823529411764,27.235294117647058,18.529411764705884,7.411764705882353,15.117647058823529,4.5,15.588235294117647,53.057489073982325,71.08823529411765,10.882352941176471,23.029411764705884,15.529411764705882,8.029411764705882,14.294117647058824,3.0294117647058822,19.0,47.96907786823635
8,CON,EA,Y,0,18,16,170,0.6235294117647059,28.0,0.5714285714285714,78.67647058823529,10.411764705882353,25.529411764705884,18.205882352941178,8.0,15.882352941176471,4.588235294117647,18.852941176470587,51.61041536773925,76.26470588235294,9.911764705882353,24.764705882352942,17.08823529411765,7.235294117647059,15.411764705882353,2.5,18.61764705882353,50.742944616607474
9,CON,EA,Y,0,21,13,204,0.6225490196078431,31.0,0.5483870967741935,79.11764705882354,10.882352941176471,25.558823529411764,17.852941176470587,6.205882352941177,14.323529411764707,2.8529411764705883,18.5,49.93277902701302,74.73529411764706,10.588235294117647,24.705882352941178,16.294117647058822,7.411764705882353,14.676470588235293,3.0588235294117645,20.676470588235293,49.28341743085553
